#
#
# US Geological Survey
# retrieved: 2017-04-10 14:20:05 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#
#
# query started 2017-04-10 14:20:05 EDT
#
# there are 1549 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd
USGS	05411990	Hatchery Creek at Big Spring, IA (HS-1)	42.91276148	-91.48153060	F	NAD83
USGS	05412000	Turkey River at Elkader, IA	42.85470727	-91.40374910	S	NAD83
USGS	05412020	Turkey River above French Hollow Cr at Elkader, IA	42.84348517	-91.40127670	1	NAD83
USGS	05412030	French Hollow Creek near Elkader, IA	42.83859620	-91.40708250	F	NAD83
USGS	05412031	Roberts Creek at Postville, IA (RC-25)	43.06914705	-91.55347860	F	NAD83
USGS	05412032	Roberts Creek Tributary near Postville, IA (RC-13)	43.05748025	-91.57792460	F	NAD83
USGS	05412033	Roberts Cr Trib at Hwy 52 at Postville, IA (RC-26)	43.07192449	-91.57042400	F	NAD83
USGS	05412034	West Branch Roberts Creek at Mouth (RC-21)	43.04553657	-91.55014540	F	NAD83
USGS	05412035	Roberts Creek near Postville, IA (RC-20)	43.04442550	-91.54820090	F	NAD83
USGS	05412036	Roberts Creek Southeast of Postville, IA (RC-11)	43.03637035	-91.53792270	F	NAD83
USGS	05412038	Roberts Creek near Luana, IA (RC-10)	43.01581579	-91.51181030	F	NAD83
USGS	05412040	Roberts Creek at Gunder, IA (RC-15)	42.98553870	-91.50069870	F	NAD83
USGS	05412041	Deer Creek at B54 near Postville, IA (DC5)	43.01109300	-91.54847910	F	NAD83
USGS	05412043	Deer Creek near Gunder, IA (DC-4)	42.99498276	-91.51875530	F	NAD83
USGS	05412044	Deer Creek at Gunder, IA (DC-2)	42.98553858	-91.50708790	F	NAD83
USGS	05412045	Roberts Creek Trib near Gunder, IA (RC-28)	42.97498325	-91.49458720	T	NAD83
USGS	05412046	Roberts Creek East of Gunder, IA (F-45)	42.97498336	-91.48292000	F	NAD83
USGS	05412047	Roberts Creek Trib 2 mi East of Gunder, IA (RC-29)	42.97498340	-91.47708640	F	NAD83
USGS	05412048	Roberts Creek North of Big Spring, IA (RC-16)	42.96831687	-91.46819700	F	NAD83
USGS	05412050	Roberts Creek near Big Spring, IA (RC-17)	42.95970590	-91.45625190	F	NAD83
USGS	05412052	East Fork Silver Creek near Monona, IA (SC-10)	43.04442689	-91.43902870	F	NAD83
USGS	05412053	East Fork Silver Creek Trib nr Monona, IA (SC-13)	43.04442690	-91.43513960	F	NAD83
USGS	05412055	East Fork Silver Creek near Luana, IA (SC-3)	43.03414920	-91.45847420	F	NAD83
USGS	05412056	Unnamed Creek near Luana, IA (BOOGD)	43.03998230	-91.46875240	F	NAD83
USGS	05412057	East Fork Silver Creek South of Luana, IA (SC-6)	43.01498305	-91.45847430	F	NAD83
USGS	05412058	Silver Creek Southwest of Luana, IA (SCU-1)	43.03609309	-91.50931000	F	NAD83
USGS	05412059	Silver Creek Trib Southwest of Luana, IA (SCU-2)	43.03359334	-91.49708710	F	NAD83
USGS	05412060	Silver Creek near Luana, IA (L-23S)	43.02192705	-91.48930900	F	NAD83
USGS	05412062	Silver Creek South of Luana, IA (SC-5)	43.01359416	-91.46236340	F	NAD83
USGS	05412065	Silver Creek Northeast of Gunder, IA (SC-1)	43.00053907	-91.44819620	F	NAD83
USGS	05412068	Silver Creek Tributary near Monona, IA (SC-14)	43.02776080	-91.41958350	F	NAD83
USGS	05412072	Silver Creek near Gunder, IA (SC-2)	42.98776130	-91.45347420	F	NAD83
USGS	05412075	Silver Creek East of Gunder, IA (SC-4)	42.97331709	-91.44180690	F	NAD83
USGS	05412080	Roberts Ck at Quarry NE of Big Spring, IA (RC-18)	42.95998390	-91.43430640	F	NAD83
USGS	05412090	Roberts Creek Northwest of Saint Olaf, IA (RC-19)	42.95915070	-91.41958350	F	NAD83
USGS	05412092	Roberts Creek West of Farmersburg, IA (F-47)	42.95165089	-91.40958300	F	NAD83
USGS	05412093	Roberts Creek near Farmersburg, IA (RC-24)	42.95665096	-91.39958260	F	NAD83
USGS	05412094	Roberts Creek North of Saint Olaf, IA (RC-23)	42.95276218	-91.39124880	F	NAD83
USGS	05412095	Roberts Creek Southwest of Farmersburg, IA (RC-22)	42.94470687	-91.37402580	F	NAD83
USGS	05412100	Roberts Creek above Saint Olaf, IA (RC-2)	42.93026244	-91.38430399	F	NAD83
USGS	05412120	Howard Creek at Farmersburg, IA (HC-1)	42.96220676	-91.36930340	F	NAD83
USGS	05412140	Howard Creek near Farmersburg, IA (HC-2)	42.94665130	-91.37319240	F	NAD83
USGS	05412150	Roberts Creek at Saint Olaf, IA	42.92831800	-91.38374840	F	NAD83
USGS	05412200	Volga River near Fayette, IA	42.81664800	-91.88350050	M	NAD83
USGS	05412290	Little Volga River near Maynard, IA	42.79998170	-91.88350070	T	NAD83
USGS	05412300	Little Volga River near Fayette, IA	42.81720355	-91.88405600	F	NAD83
USGS	05412340	Volga River at Fayette, IA	42.84413889	-91.81816670	1	NAD83
USGS	05412400	Volga River at Littleport, IA	42.75387530	-91.36902520	F	NAD83
USGS	05412480	Elk Creek at Elkport, IA	42.73304376	-91.28041110	F	NAD83
USGS	05412500	Turkey River at Garber, IA	42.73998840	-91.26179900	F	NAD83
USGS	05412600	South Cedar Creek near Garnavillo, IA	42.82915416	-91.24457580	F	NAD83
USGS	05412610	South Cedar Creek near Ceres, IA	42.80915440	-91.24735370	F	NAD83
USGS	05414350	Little Maquoketa River near Graf, IA	42.50250060	-90.86401800	F	NAD83
USGS	05414375	MF Little Maquoketa R Trib at Dubuque Co Park, IA	42.55888650	-90.95679670	F	NAD83
USGS	05414380	MF Little Maquoketa River at Dubuque Co Park, IA	42.55833098	-90.95596340	F	NAD83
USGS	05414400	Middle Fk Little Maquoketa R nr Rickardsville, IA	42.56055427	-90.85985079	F	NAD83
USGS	05414450	North Fk Little Maquoketa Riv nr Rickardsville, IA	42.58583120	-90.85568380	F	NAD83
USGS	05414500	Little Maquoketa River near Durango, IA	42.55500020	-90.74623800	F	NAD83
USGS	05414600	Little Maquoketa River Tributary at Dubuque, IA	42.54388970	-90.69401620	F	NAD83
USGS	05414605	Bloody Run Tributary near Sherrill, IA	42.62027527	-90.76234910	F	NAD83
USGS	05414700	Mississippi River at Dubuque, IA	42.54027887	-90.64512750	F	NAD83
USGS	05414730	Mississippi River below Dubuque, IA	42.47167070	-90.64651680	F	NAD83
USGS	05414735	Catfish Creek at Rockdale, IA	42.46778185	-90.67846120	F	NAD83
USGS	05416100	MISSISSIPPI R AT LOCK & DAM 12 AT BELLEVUE, IA	42.26084897	-90.42318400	U	NAD83
USGS	05416135	SWAMP NEAR GREEN ISLAND, IA (P13DB3)	42.19918487	-90.36374030	S	NAD83
USGS	05416200	Lamont Creek Tributary near Lamont, IA	42.58942904	-91.64793470	F	NAD83
USGS	05416300	Maquoketa River near Dundee, IA	42.61526250	-91.56237200	F	NAD83
USGS	05416400	South Fork Maquoketa River near Dundee, IA	42.60220696	-91.58709640	F	NAD83
USGS	05416680	Honey Creek at State Highway 13 at Manchester, IA	42.50816667	-91.46100000	1	NAD83
USGS	05416900	Maquoketa River at Manchester, IA	42.46998780	-91.44871470	F	NAD83
USGS	05416972	Sand Creek near Manchester, IA	42.44915420	-91.48070610	F	NAD83
USGS	05417000	Maquoketa River near Manchester, IA	42.45609978	-91.43237040	F	NAD83
USGS	05417050	Spring Branch abv Fish Hatchery nr Manchester, IA	42.46971137	-91.40014610	F	NAD83
USGS	05417100	Spring Branch at Fish Hatchery nr Manchester, IA	42.46026720	-91.39875770	F	NAD83
USGS	05417170	Unnamed Creek near Bailey Ford near Manchester, IA	42.43160110	-91.40784310	1	NAD83
USGS	05417275	Unnamed Creek at 267th St & 205th Ave nr Delhi, IA	42.40157459	-91.39289980	1	NAD83
USGS	05417300	Turtle Creek at Turtle Cr Rec Area near Delhi, IA	42.40396378	-91.37917680	1	NAD83
USGS	05417350	Unnamed Creek near Heartland Cove near Delhi, IA	42.41596375	-91.36795340	1	NAD83
USGS	05417470	Unnamed Creek at Cove near Dam near Delhi, IA	42.40390909	-91.34709210	1	NAD83
USGS	05417500	Maquoketa River near Delhi, IA	42.40832567	-91.34598070	F	NAD83
USGS	05417510	Maquoketa River at Quarter Road near Delhi, IA	42.39066667	-91.29088890	1	NAD83
USGS	05417530	Plum Creek at Earlville, IA	42.47027096	-91.24819560	F	NAD83
USGS	05417540	Plum Creek near Earlville, IA	42.43443907	-91.23291920	F	NAD83
USGS	05417555	Plum Creek at State Highway 38 near Hopkinton, IA	42.37177778	-91.26655560	1	NAD83
USGS	05417560	Maquoketa River near Hopkinton, IA	42.36221790	-91.27098000	F	NAD83
USGS	05417580	Buck Creek near Hopkinton, IA	42.35582868	-91.28987000	F	NAD83
USGS	05417583	Unnamed Tributary to Grove Creek nr Hopkinton, IA	42.29630556	-91.32175000	1	NAD83
USGS	05417585	Maquoketa River at Monticello, IA	42.25983330	-91.19252780	1	NAD83
USGS	05417590	Kitty Creek near Langworthy, IA	42.20111366	-91.20765170	F	NAD83
USGS	05417600	Maquoketa River near Scotch Grove, IA	42.20334170	-91.00486490	F	NAD83
USGS	05417700	Bear Creek near Monmouth, IA	42.03946126	-90.88264380	S	NAD83
USGS	05418000	Maquoketa R abv N Fk Maquoketa R nr Maquoketa, IA	42.09057240	-90.79736120	T	NAD83
USGS	05418080	North Fork Maquoketa River NE of Dyersville, IA	42.48916667	-91.11250000	5	NAD83
USGS	05418100	North Fork Maquoketa River at Dyersville, IA	42.48471820	-91.12235790	F	NAD83
USGS	05418110	NF Maquoketa River below Bear Cr at Dyersville, IA	42.47033330	-91.12455560	1	NAD83
USGS	05418120	North Fork Maquoketa River at Worthington, IA	42.39360960	-91.13458459	F	NAD83
USGS	05418150	North Fork Maquoketa River near Cascade, IA	42.32000324	-91.04652890	F	NAD83
USGS	05418180	Johns Creek near Worthington, IA	42.39716667	-91.06225000	1	NAD83
USGS	05418200	Whitewater Creek at Fillmore, IA	42.31861727	-90.92402500	F	NAD83
USGS	05418210	Whitewater Creek at County Hwy D61 nr Cascade, IA	42.27772220	-90.93722220	1	NAD83
USGS	05418300	Lytle Creek near Bernard, IA	42.29917649	-90.78235470	F	NAD83
USGS	05418350	Lytle Creek near Fulton, IA	42.20084738	-90.75457860	F	NAD83
USGS	05418400	North Fork Maquoketa River near Fulton, IA	42.16433330	-90.72933330	1	NAD83
USGS	05418450	North Fork Maquoketa River at Fulton, IA	42.14668375	-90.67596740	F	NAD83
USGS	05418470	North Fork Maquoketa River at Hurstville, IA	42.09029686	-90.67235770	F	NAD83
USGS	05418500	Maquoketa River near Maquoketa, IA	42.08335324	-90.63291240	F	NAD83
USGS	05418600	Maquoketa River near Spragueville, IA	42.10127100	-90.51788149	1	NAD83
USGS	05418645	Williams Creek near Charlotte, IA	41.93197049	-90.52902350	F	NAD83
USGS	05418650	Deep Creek near Charlotte, IA	41.99696987	-90.40402059	F	NAD83
USGS	05418700	Deep Creek near Preston, IA	42.04807905	-90.42652020	F	NAD83
USGS	05418720	Maquoketa River near Green Island, IA	42.16386110	-90.33508330	1	NAD83
USGS	05419400	MARSH NEAR SABULA, IA (P13DA1)	42.09668930	-90.17957250	S	NAD83
USGS	05420150	Mississippi River at Sabula, IA	42.07569009	-90.17568360	5	NAD83
USGS	05420300	Elk River near Almont, IA	42.01058136	-90.20096180	F	NAD83
USGS	05420460	Beaver Slough at 3rd Street at Clinton, IA	41.82725169	-90.19040450	F	NAD83
USGS	05420500	Mississippi River at Clinton, IA	41.78058635	-90.25207300	F	NAD83
USGS	05420520	Wapsipinicon River at McIntire, IA	43.44327778	-92.61125000	1	NAD83
USGS	05420540	Wapsipinicon River near Riceville, IA	43.32580230	-92.56434769	F	NAD83
USGS	05420560	Wapsipinicon River near Elma, IA	43.24160880	-92.53309730	S	NAD83
USGS	05420570	Wapsipinicon River at Hwy 18 near New Hampton, IA	43.06664059	-92.45351370	F	NAD83
USGS	05420580	Wapsipinicon River near Ionia, IA	43.00858660	-92.38934620	F	NAD83
USGS	05420600	Little Wapsipinicon River Trib near Riceville, IA	43.35857868	-92.48573230	F	NAD83
USGS	05420620	Little Wapsipinicon River near Acme, IA	43.32691250	-92.48545490	F	NAD83
USGS	05420640	Little Wapsipinicon River at Elma, IA	43.24163620	-92.45128850	F	NAD83
USGS	05420650	Little Wapsipinicon River near New Hampton, IA	43.06608520	-92.39406770	F	NAD83
USGS	05420660	Wapsipinicon River near New Hampton, IA	42.97997620	-92.36879050	F	NAD83
USGS	05420665	Wapsipinicon River near Fredericksburg, IA	42.96525436	-92.35851260	F	NAD83
USGS	05420680	Wapsipinicon River near Tripoli, IA	42.83609117	-92.25740030	F	NAD83
USGS	05420690	East Fork Wapsipinicon River near New Hampton, IA	43.08636274	-92.30628710	F	NAD83
USGS	05420700	East Fork Wapsipinicon River nr Fredericksburg, IA	43.00858700	-92.21267490	F	NAD83
USGS	05420705	East Fork Wapsipinicon River at Fredericksburg, IA	42.96497698	-92.20989760	F	NAD83
USGS	05420710	East Fork Wapsipinicon River near Frederika, IA	42.90692277	-92.25601050	F	NAD83
USGS	05420720	East Fork Wapsipinicon River near Tripoli, IA	42.84747986	-92.23017730	F	NAD83
USGS	05420740	Wapsipinicon River at Tripoli, IA	42.80692530	-92.22684450	F	NAD83
USGS	05420760	Wapsipinicon River near Readlyn, IA	42.68192810	-92.16462240	F	NAD83
USGS	05420770	Wapsipinicon River near Fairbank, IA	42.63498457	-92.14351130	F	NAD83
USGS	05420780	Crane Creek near Readlyn, IA	42.71498279	-92.26990220	F	NAD83
USGS	05420800	Crane Creek near Denver, IA	42.64220660	-92.25601400	F	NAD83
USGS	05420810	Crane Creek at County Hwy V49 near Dunkerton, IA	42.59348544	-92.21906930	5	NAD83
USGS	05420820	Crane Creek at Dunkerton, IA	42.57665239	-92.18073510	F	NAD83
USGS	05420830	Crane Creek near Dunkerton, IA	42.57109680	-92.12156690	F	NAD83
USGS	05420840	Little Wapsipinicon River near Westgate, IA	42.78525940	-92.08156390	F	NAD83
USGS	05420850	Little Wapsipinicon River near Oran, IA	42.71469444	-92.04155560	1	NAD83
USGS	05420858	Unnamed Creek near Fairbank, IA	42.60651276	-92.03284200	1	NAD83
USGS	05420860	Little Wapsipinicon River near Littleton, IA	42.57637437	-92.03434220	F	NAD83
USGS	05420875	Buck Creek near Oran, IA	42.71470530	-92.12601010	F	NAD83
USGS	05420880	Buck Creek near Littleton, IA	42.57665217	-92.05045380	F	NAD83
USGS	05420900	Little Wapsipinicon River at Littleton, IA	42.54081937	-92.02517550	F	NAD83
USGS	05420910	Wapsipinicon River at Littleton, IA	42.53054177	-92.02767560	F	NAD83
USGS	05420940	Otter Creek near Otterville, IA	42.54081900	-91.94295040	F	NAD83
USGS	05420960	Harter Creek near Independence, IA	42.49777778	-91.89138890	S	NAD83
USGS	05421000	Wapsipinicon River at Independence, IA	42.46359796	-91.89517220	F	NAD83
USGS	05421080	Pine Creek near Doris, IA	42.54109610	-91.82211260	F	NAD83
USGS	05421100	Pine Creek Tributary near Winthrop, IA	42.48804100	-91.78627900	F	NAD83
USGS	05421200	Pine Creek near Winthrop, IA	42.46970810	-91.78377950	F	NAD83
USGS	05421250	Pine Creek near Quasqueton, IA	42.41859837	-91.79239250	F	NAD83
USGS	05421300	Wapsipinicon Tributary at Winthrop, IA	42.46831908	-91.74266680	F	NAD83
USGS	05421330	Wapsipinicon River at Quasqueton, IA	42.39248770	-91.76211480	F	NAD83
USGS	05421400	Wapsipinicon River at Central City, IA	42.20554946	-91.52933400	F	NAD83
USGS	05421440	Wapsipinicon River at Waubeek, IA	42.16486110	-91.46175000	T	NAD83
USGS	05421500	Wapsipinicon River at Stone City, IA	42.11333498	-91.35155170	F	NAD83
USGS	05421550	Buffalo Creek above Winthrop, IA	42.49748506	-91.72849800	F	NAD83
USGS	05421600	Buffalo Creek near Winthrop, IA	42.46859690	-91.71794290	F	NAD83
USGS	05421630	Buffalo Creek near Monti, IA	42.37665520	-91.62405200	F	NAD83
USGS	05421660	Buffalo Creek near Robinson, IA	42.31443490	-91.55877400	F	NAD83
USGS	05421680	Buffalo Creek near Central City, IA	42.20610669	-91.44683000	F	NAD83
USGS	05421682	Buffalo Creek South of Prairieburg, IA	42.19583330	-91.42277780	1	NAD83
USGS	05421700	Buffalo Creek near Stone City, IA	42.14222298	-91.34571670	F	NAD83
USGS	05421710	Buffalo Creek at State Penal Farm near Anamosa, IA	42.13222387	-91.32793840	F	NAD83
USGS	05421720	Buffalo Creek at Anamosa, IA	42.10833670	-91.29877130	F	NAD83
USGS	05421740	Wapsipinicon River near Anamosa, IA	42.08333856	-91.26738180	F	NAD83
USGS	05421750	Walnut Creek at Olin, IA	41.99584530	-91.14210120	F	NAD83
USGS	05421760	Wapsipinicon River at Oxford Mills, IA	41.97194444	-90.96000000	1	NAD83
USGS	05421770	Wapsipinicon River at Massillon, IA	41.91751990	-90.92236990	F	NAD83
USGS	05421780	Wapsipinicon River at Toronto, IA	41.91029905	-90.85958990	F	NAD83
USGS	05421800	Yankee Run at Wheatland, IA	41.82613510	-90.84042380	F	NAD83
USGS	05421840	Wapsipinicon River near Dixon, IA	41.73808329	-90.73792140	F	NAD83
USGS	05421850	Mud Creek near Plainview, IA	41.70058350	-90.75736630	F	NAD83
USGS	05421870	Mud Creek near Donahue, IA	41.73808390	-90.69069760	F	NAD83
USGS	05421880	Wapsipinicon River near Donahue, IA	41.75447270	-90.67875270	F	NAD83
USGS	05421890	Silver Creek at Welton, IA	41.91502540	-90.60013690	F	NAD83
USGS	05421900	Silver Creek near De Witt, IA	41.78586256	-90.55374810	F	NAD83
USGS	05422000	Wapsipinicon River near De Witt, IA	41.76697439	-90.53485880	F	NAD83
USGS	05422100	Brophys Creek near Low Moor, IA	41.81558510	-90.40402140	F	NAD83
USGS	05422110	Wapsipinicon River near McCausland, IA	41.75864190	-90.43541150	F	NAD83
USGS	05422150	Wapsipinicon River near Folletts, IA	41.75003119	-90.35429800	T	NAD83
USGS	05422160	RIVER SLOUGH NEAR FOLLETTS, IA (P14DC1)	41.72583330	-90.33472220	S	NAD83
USGS	05422170	MARSH NEAR PRINCETON, IA (P14DB1)	41.70475405	-90.31985180	S	NAD83
USGS	05422250	Mississippi River at Le Claire, IA	41.59642199	-90.34290620	F	NAD83
USGS	05422400	MISSISSIPPI RIVER AT DAM 14 NEAR HAMPTON, IL	41.57364430	-90.40263040	U	NAD83
USGS	05422420	Crow Creek at Eldridge, IA	41.64003147	-90.55208100	F	NAD83
USGS	05422430	Crow Creek Tributary at Eldridge, IA	41.64003130	-90.56208140	F	NAD83
USGS	05422450	Crow Creek at Mount Joy, IA	41.61503180	-90.54930300	F	NAD83
USGS	05422470	Crow Creek at Bettendorf, IA	41.55114445	-90.45513220	S	NAD83
USGS	05422560	Duck Creek at 110th Avenue at Davenport, IA	41.55669745	-90.68764090	S	NAD83
USGS	05422584	Kimberly Rd Strm Swr nr Gaines St at Davenport, IA	41.56019860	-90.59055400	S	NAD83
USGS	05422586	Duck Creek Trib near Colony Drive at Davenport, IA	41.56975420	-90.57791480	F	NAD83
USGS	05422587	Duck Creek at Brady Street at Davenport, IA	41.55392120	-90.56930320	F	NAD83
