site_id	lat	lon
NSKNK01	41.687869	-92.859233
BIGCRK06	41.988007	-93.795542
SCHQSTCR01	40.78279	-92.197807
NFCTFSH01	42.486343	-90.703606
MDDLRCCN03	42.052492	-94.823041
WNISH03	41.791686	-95.199
CRANECR01	43.0015	-91.9691
BEARCRK01	42.0809	-91.809
SQWCR01	42.013553	-93.610153
SBVRCRK01	42.4125	-93.2611
SSKNK02	41.681462	-93.246483
SHLRK05	43.284205	-93.123806
HONEYCR01	41.9602	-90.4708
NRCCNRV03	42.457564	-95.012886
SOAPCR02	40.84952	-92.538281
PRAIRIE01	42.121699	-93.755448
SQWCR04	42.180817	-93.757788
SHLRK02	42.840339	-92.73205
BLUECR01	42.202583	-91.824506
WNBGORV05	43.241974	-93.624887
SLVRCR01	41.11745	-95.630947
YELLOWRV01	43.139539	-91.587033
SHLRK03	42.936283	-92.851475
ENDWY01	40.727396	-94.979789
BNNTTCR01	41.9529	-92.6492
BEVRCRK01	42.3609	-93.1395
LAKECR01	42.260551	-94.782407
INDIAN02	41.044804	-95.366453
BVRCR01	42.581216	-92.73164
BFFLOCR02	41.7232	-91.6666
CLEARCR01	42.038027	-93.698624
SSKNK04	42.2171	-93.583
BEAVER03	43.133878	-92.567574
INDCR03	42.03111	-91.611701
MQKTARV02	42.390771	-91.2909
SBRCRKD01	42.246787	-93.796032
VLGARV02	42.837939	-91.656859
BIGCRK04	41.950384	-93.759062
MDDLRCCN01	41.590149	-94.20324
ONIONCR01	42.053529	-93.698584
SSKNK03	42.034248	-93.593944
TKYRV02	42.9977	-91.6579
CLRCRKS02	41.6865	-91.9113
WLFCR01	42.315598	-92.193895
SHLRK01	42.788201	-92.688598
NBEARCR01	42.275414	-91.985833
DRYCR01	42.06214	-91.801492
SQWCR02	42.036626	-93.645004
DEEPCRK01	41.9622	-90.4685
GRANCRK01	42.585214	-92.918055
WLNTCR01	41.6128	-93.7927
TKYRV01	42.924405	-91.526782
RLSTNCR01	41.661684	-91.522698
NONIONCR01	42.066943	-93.756972
NWLNTCR02	41.614686	-93.72652
WALNUTCR01	41.501097	-93.251632
SFIOWA01	42.4362	-93.3471
MQKTARV04	42.577124	-91.54805
GRNGRCR01	42.4549	-90.6595
TIPTNCR02	42.3683	-93.339
SLOUGHCR01	43.206325	-92.732549
ENGLSHRV01	41.469606	-91.714477
WNISH02	41.645388	-95.312665
BEAVER02	43.098201	-92.5402
CHQSTCR02	40.804359	-92.2077
OTTERCR01	42.0714	-91.7257
BRCKCMP01	43.133352	-91.889389
LTLSIOUX01	42.74514	-95.551691
MQKTARV01	42.260186	-91.192876
OCHYDNRV01	43.183955	-95.374806
NRCCNRV02	41.853271	-94.220369
MADCRK02	41.478706	-91.019951
DSMNSRV02	42.12155	-93.967917
EINDNCR01	41.952123	-93.405982
SPRINGCR01	41.551038	-93.446148
MCHKNCK01	41.288281	-92.69654
BIGCRK01	41.863424	-93.759955
CRANECR02	43.213628	-92.27727
MNTGMRY02	42.129238	-93.795597
BIGCRK02	41.87788	-93.751182
NWLNTCR01	41.6092	-93.721
BIGCRK03	41.906935	-93.757728
WLNTCRK01	41.984475	-91.17496
ROGERSCR01	43.141718	-91.932728
NENGLSH01	41.5268	-91.9894
CEDARRV02	42.01176	-91.704849
BOYERRV01	41.573223	-95.845234
PRICECR01	41.8051	-91.873
FOURMLE01	41.568344	-93.522422
RHNCR01	41.722496	-91.790559
HRGVCR01	42.756143	-93.025721
WBFLOYDRV01	42.923777	-96.177476
SQWTRB01	42.049135	-93.751343
LTLSIOUX05	43.459518	-95.230817
WAPSI02	41.829532	-90.811487
BEAVERCRK01	41.995981	-94.125602
BIGCRK3T02	41.921647	-93.740467
MUDCRK01	41.599717	-93.411843
DSMNSRV01	42.042768	-93.933207
LTLSIOUX04	43.327402	-95.201261
DSMNSRV03	42.543403	-94.216311
IOWARV02	42.066403	-92.907903
OTTRCRK03	42.950064	-91.753865
RAPIDTRB01	41.74834	-91.433825
CTFSHCR01	42.467386	-90.682531
SPRNGCRK01	43.284179	-92.769861
BOYERRV02	41.810751	-95.640281
WLLWCR01	43.150827	-93.20693
CAMPCR01	41.600519	-93.3653
DRYCRK01	42.0477	-91.6665
WAPSI03	42.203647	-91.527265
VLGARV03	42.847289	-91.947762
MSQUTOCR01	41.288149	-95.793194
RAPIDCR01	41.721736	-91.42633
BFFLOCR01	41.7123	-91.6995
MSQUTOCR02	41.46685	-95.603946
MAPLERV01	42.351117	-95.479425
NRCCNRV01	41.742571	-94.055925
SOAPCR01	40.879966	-92.332873
SONIONCR01	42.055509	-93.776217
NFMQKTA01	42.305968	-91.021465
BRCHFLD01	41.7393	-94.395211
GENEVACR01	41.449146	-91.055379
PRAIRIECRK01	41.923208	-91.783714
RCCNRV01	41.534407	-93.95032
SRCCNRV01	41.564102	-94.233173
OTTRCRK02	42.928604	-91.696963
WFKLTSIOUX01	43.419586	-95.269068
ENISH01	40.785763	-95.384914
ROCKCR01	43.210351	-92.810228
BLCKHWK01	41.502715	-90.624221
MQKTARV03	42.469805	-91.44865
NORTHRV01	41.50804	-93.484974
MUDCR01	42.1547	-92.0057
BRSHYCR01	41.87696	-94.769562
SSKNK01	41.574715	-93.037189
DSMNSRV04	42.252349	-93.996459
WNBGORV02	43.153329	-93.171056
WORRELL01	42.002963	-93.717909
CLRCRK01	41.718254	-91.740208
ROCKCR02	43.284056	-92.926655
MADCRK01	41.451786	-91.038729
SFIOWA03	42.5139	-93.4697
TKYRV03	43.327275	-92.080278
LTLTKY02	43.183643	-92.164472
DRYRNCRK01	42.525179	-92.441413
LIMECR01	42.2974	-92.0177
SOAPCR03	40.888095	-92.680712
PRAIRIE02	42.122995	-93.833387
